AIRPORT BUILDING NON-TERMINAL - SECURE AREA,3
RESIDENCE,132
HOTEL/MOTEL,98
ALLEY,15
STREET,157
SIDEWALK,153
APARTMENT,17
PARK PROPERTY,121
DRUG STORE,72
RESTAURANT,139
SMALL RETAIL STORE,154
GAS STATION,84
RESIDENTIAL YARD (FRONT/BACK),138
OTHER,116
NURSING HOME/RETIREMENT HOME,114
BAR OR TAVERN,24
COLLEGE/UNIVERSITY RESIDENCE HALL,51
RESIDENCE PORCH/HALLWAY,136
PARKING LOT/GARAGE(NON.RESID.),124
CTA PLATFORM,61
TAXICAB,161
RESIDENCE-GARAGE,137
HIGHWAY/EXPRESSWAY,91
VEHICLE NON-COMMERCIAL,171
CHA PARKING LOT/GROUNDS,40
MOVIE HOUSE/THEATER,110
CTA BUS,58
GROCERY FOOD STORE,89
DEPARTMENT STORE,69
CURRENCY EXCHANGE,67
COMMERCIAL / BUSINESS OFFICE,52
ATHLETIC CLUB,19
WAREHOUSE,176
CONVENIENCE STORE,54
CTA BUS STOP,59
BANK,23
CTA GARAGE / OTHER PROPERTY,60
TAVERN/LIQUOR STORE,160
AIRPORT EXTERIOR - SECURE AREA,5
LIBRARY,106
CTA TRAIN,66
FACTORY/MANUFACTURING BUILDING,76
VACANT LOT/LAND,165
CHA APARTMENT,34
DRIVEWAY - RESIDENTIAL,71
MEDICAL/DENTAL OFFICE,109
AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,7
"SCHOOL, PRIVATE, BUILDING",149
HOSPITAL BUILDING/GROUNDS,95
CAR WASH,32
BOWLING ALLEY,30
BARBERSHOP,26
CHURCH/SYNAGOGUE/PLACE OF WORSHIP,44
POLICE FACILITY/VEH PARKING LOT,127
SPORTS ARENA/STADIUM,155
AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,10
PAWN SHOP,125
CONSTRUCTION SITE,53
CTA STATION,63
AIRCRAFT,1
APPLIANCE STORE,18
OTHER COMMERCIAL TRANSPORTATION,118
ABANDONED BUILDING,0
GOVERNMENT BUILDING/PROPERTY,88
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,11
ANIMAL HOSPITAL,16
OFFICE,115
VEHICLE - OTHER RIDE SERVICE,168
AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA,9
"SCHOOL, PUBLIC, GROUNDS",152
ATM (AUTOMATIC TELLER MACHINE),20
FIRE STATION,79
CLEANING STORE,46
VEHICLE-COMMERCIAL,172
"SCHOOL, PUBLIC, BUILDING",151
OTHER RAILROAD PROP / TRAIN DEPOT,119
"SCHOOL, PRIVATE, GROUNDS",150
JAIL / LOCK-UP FACILITY,100
SAVINGS AND LOAN,143
COIN OPERATED MACHINE,48
CHA PARKING LOT,38
CHA HALLWAY/STAIRWELL/ELEVATOR,37
AIRPORT EXTERIOR - NON-SECURE AREA,4
HOUSE,99
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,2
RESIDENCE - GARAGE,133
PORCH,130
YARD,178
AIRPORT TRANSPORTATION SYSTEM (ATS),12
DAY CARE CENTER,68
AIRPORT PARKING LOT,6
AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,8
AIRPORT VENDING ESTABLISHMENT,13
AUTO,21
COLLEGE/UNIVERSITY GROUNDS,50
FEDERAL BUILDING,78
OTHER (SPECIFY),117
FOREST PRESERVE,80
BRIDGE,31
HALLWAY,90
POOL ROOM,128
AIRPORT/AIRCRAFT,14
GARAGE,82
NEWSSTAND,111
CTA TRACKS - RIGHT OF WAY,65
VEHICLE - DELIVERY TRUCK,167
LAKEFRONT/WATERFRONT/RIVERBANK,104
"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",169
BOAT/WATERCRAFT,29
PARKING LOT,122
GAS STATION DRIVE/PROP.,85
VACANT LOT,163
CREDIT UNION,55
PARKING LOT / GARAGE (NON RESIDENTIAL),123
CEMETARY,33
LAGOON,102
VESTIBULE,175
NURSING HOME,113
GANGWAY,81
RESIDENCE - YARD (FRONT / BACK),135
RETAIL STORE,140
SCHOOL YARD,148
"CTA ""L"" TRAIN",57
TAVERN,158
BARBER SHOP/BEAUTY SALON,25
SCHOOL - PUBLIC BUILDING,146
DRIVEWAY,70
HOSPITAL,93
CLEANERS/LAUNDROMAT,45
EXPRESSWAY EMBANKMENT,74
RAILROAD PROPERTY,131
LAUNDRY ROOM,105
POOLROOM,129
ELEVATOR,73
HOTEL,96
AUTO / BOAT / RV DEALERSHIP,22
STAIRWELL,156
ROOMING HOUSE,142
BASEMENT,27
GOVERNMENT BUILDING / PROPERTY,87
FACTORY / MANUFACTURING BUILDING,75
RIVER BANK,141
RESIDENCE - PORCH / HALLWAY,134
SCHOOL - PUBLIC GROUNDS,147
HOTEL / MOTEL,97
CHURCH,42
CTA PROPERTY,62
"CTA ""L"" PLATFORM",56
VACANT LOT / LAND,164
CHA HALLWAY,36
CLUB,47
HOSPITAL BUILDING / GROUNDS,94
VEHICLE-COMMERCIAL - ENTERTAINMENT/PARTY BUS,173
NURSING / RETIREMENT HOME,112
CHA GROUNDS,35
VEHICLE-COMMERCIAL - TROLLEY BUS,174
"VEHICLE - OTHER RIDE SHARE SERVICE (LYFT, UBER, ETC.)",170
HORSE STABLE,92
VEHICLE - COMMERCIAL,166
WOODED AREA,177
CHURCH / SYNAGOGUE / PLACE OF WORSHIP,43
MEDICAL / DENTAL OFFICE,108
KENNEL,101
LIQUOR STORE,107
FARM,77
GARAGE/AUTO REPAIR,83
GOVERNMENT BUILDING,86
YMCA,179
TAVERN / LIQUOR STORE,159
COLLEGE / UNIVERSITY - GROUNDS,49
POLICE FACILITY / VEHICLE PARKING LOT,126
CTA SUBWAY STATION,64
SCHOOL - PRIVATE BUILDING,144
CHA PARKING LOT / GROUNDS,39
LAKEFRONT / WATERFRONT / RIVERBANK,103
BOAT / WATERCRAFT,28
TRAILER,162
OTHER RAILROAD PROPERTY / TRAIN DEPOT,120
CHA PLAY LOT,41
SCHOOL - PRIVATE GROUNDS,145
